model,model_name,stim_id,word,word_type,word_length,ordering,order_method,a_is,b_is,raw_text,parsed_answer,choice,generation_time_s,num_tokens_generated,attempts,repeat,temperature
qwen3.5-9b,Qwen/Qwen3.5-9B,5,plailass,sudo,8,shape_first,fixed,shape,texture,1,1,shape,10.77,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,5,plailass,sudo,8,texture_first,fixed,texture,shape,1,1,texture,15.25,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,4,plailass,sudo,8,shape_first,fixed,shape,texture,1,1,shape,76.27,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,4,plailass,sudo,8,texture_first,fixed,texture,shape,1,1,texture,2.55,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,4,clapher,sudo,7,shape_first,fixed,shape,texture,1,1,shape,73.72,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,4,clapher,sudo,7,texture_first,fixed,texture,shape,1,1,texture,6.74,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,3,cgchqjjfgy,random,10,shape_first,fixed,shape,texture,1,1,shape,70.51,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,3,cgchqjjfgy,random,10,texture_first,fixed,texture,shape,1,1,texture,12.52,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,5,afnafq,random,6,shape_first,fixed,shape,texture,1,1,shape,15.8,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,5,afnafq,random,6,texture_first,fixed,texture,shape,1,1,texture,31.03,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,4,afnafq,random,6,shape_first,fixed,shape,texture,1,1,shape,73.87,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,4,afnafq,random,6,texture_first,fixed,texture,shape,1,1,texture,15.61,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,5,procation,sudo,9,shape_first,fixed,shape,texture,1,1,shape,2.1,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,5,procation,sudo,9,texture_first,fixed,texture,shape,1,1,texture,17.7,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,5,orvufaig,random,8,shape_first,fixed,shape,texture,1,1,shape,32.25,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,5,orvufaig,random,8,texture_first,fixed,texture,shape,1,1,texture,1.58,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,5,qahftrxck,random,9,shape_first,fixed,shape,texture,1,1,shape,11.91,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,5,qahftrxck,random,9,texture_first,fixed,texture,shape,1,1,texture,12.23,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,5,adinefults,sudo,10,shape_first,fixed,shape,texture,1,1,shape,6.91,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,5,adinefults,sudo,10,texture_first,fixed,texture,shape,1,1,texture,13.65,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,5,cgchqjjfgy,random,10,shape_first,fixed,shape,texture,1,1,shape,2.57,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,5,cgchqjjfgy,random,10,texture_first,fixed,texture,shape,1,1,texture,13.71,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,shiple,sudo,6,shape_first,fixed,shape,texture,1,1,shape,13.67,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,shiple,sudo,6,texture_first,fixed,texture,shape,1,1,texture,12.3,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,orvufaig,random,8,shape_first,fixed,shape,texture,1,1,shape,2.05,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,orvufaig,random,8,texture_first,fixed,texture,shape,1,1,texture,15.13,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,qahftrxck,random,9,shape_first,fixed,shape,texture,1,1,shape,12.35,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,qahftrxck,random,9,texture_first,fixed,texture,shape,1,1,texture,1.46,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,plailass,sudo,8,shape_first,fixed,shape,texture,1,1,shape,1.34,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,plailass,sudo,8,texture_first,fixed,texture,shape,1,1,texture,22.23,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,afnafq,random,6,shape_first,fixed,shape,texture,1,1,shape,13.62,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,afnafq,random,6,texture_first,fixed,texture,shape,1,1,texture,18.79,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,procation,sudo,9,shape_first,fixed,shape,texture,1,1,shape,13.48,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,procation,sudo,9,texture_first,fixed,texture,shape,1,1,texture,5.53,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,adinefults,sudo,10,shape_first,fixed,shape,texture,1,1,shape,14.64,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,adinefults,sudo,10,texture_first,fixed,texture,shape,1,1,texture,3.39,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,clapher,sudo,7,shape_first,fixed,shape,texture,1,1,shape,12.22,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,clapher,sudo,7,texture_first,fixed,texture,shape,1,1,texture,32.27,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,plailass,sudo,8,shape_first,fixed,shape,texture,1,1,shape,10.91,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,plailass,sudo,8,texture_first,fixed,texture,shape,1,1,texture,1.61,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,orvufaig,random,8,shape_first,fixed,shape,texture,1,1,shape,10.75,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,orvufaig,random,8,texture_first,fixed,texture,shape,1,1,texture,2.23,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,procation,sudo,9,shape_first,fixed,shape,texture,1,1,shape,10.63,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,procation,sudo,9,texture_first,fixed,texture,shape,1,1,texture,2.24,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,shiple,sudo,6,shape_first,fixed,shape,texture,1,1,shape,5.96,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,shiple,sudo,6,texture_first,fixed,texture,shape,1,1,texture,20.72,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,afnafq,random,6,shape_first,fixed,shape,texture,1,1,shape,2.21,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,afnafq,random,6,texture_first,fixed,texture,shape,1,1,texture,24.52,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,ieyiccw,random,7,shape_first,fixed,shape,texture,1,1,shape,21.24,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,ieyiccw,random,7,texture_first,fixed,texture,shape,1,1,texture,1.78,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,clapher,sudo,7,shape_first,fixed,shape,texture,1,1,shape,25.23,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,clapher,sudo,7,texture_first,fixed,texture,shape,1,1,texture,1.82,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,cgchqjjfgy,random,10,shape_first,fixed,shape,texture,1,1,shape,32.26,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,cgchqjjfgy,random,10,texture_first,fixed,texture,shape,1,1,texture,16.38,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,adinefults,sudo,10,shape_first,fixed,shape,texture,1,1,shape,15.66,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,adinefults,sudo,10,texture_first,fixed,texture,shape,1,1,texture,2.62,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,cgchqjjfgy,random,10,shape_first,fixed,shape,texture,1,1,shape,15.11,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,cgchqjjfgy,random,10,texture_first,fixed,texture,shape,1,1,texture,2.61,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,8,shiple,sudo,6,shape_first,fixed,shape,texture,2,2,texture,15.07,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,8,shiple,sudo,6,texture_first,fixed,texture,shape,1,1,texture,2.59,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,qahftrxck,random,9,shape_first,fixed,shape,texture,1,1,shape,16.4,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,7,qahftrxck,random,9,texture_first,fixed,texture,shape,1,1,texture,14.5,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,8,adinefults,sudo,10,shape_first,fixed,shape,texture,2,2,texture,11.53,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,8,adinefults,sudo,10,texture_first,fixed,texture,shape,1,1,texture,3.84,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,8,procation,sudo,9,shape_first,fixed,shape,texture,1,1,shape,11.53,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,8,procation,sudo,9,texture_first,fixed,texture,shape,1,1,texture,3.85,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,8,orvufaig,random,8,shape_first,fixed,shape,texture,1,1,shape,14.48,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,8,orvufaig,random,8,texture_first,fixed,texture,shape,1,1,texture,4.43,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,8,qahftrxck,random,9,shape_first,fixed,shape,texture,1,1,shape,11.51,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,8,qahftrxck,random,9,texture_first,fixed,texture,shape,1,1,texture,3.87,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,ieyiccw,random,7,shape_first,fixed,shape,texture,1,1,shape,73.17,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,6,ieyiccw,random,7,texture_first,fixed,texture,shape,1,1,texture,4.35,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,8,ieyiccw,random,7,shape_first,fixed,shape,texture,1,1,shape,26.52,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,8,ieyiccw,random,7,texture_first,fixed,texture,shape,1,1,texture,10.42,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,8,cgchqjjfgy,random,10,shape_first,fixed,shape,texture,1,1,shape,4.43,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,8,cgchqjjfgy,random,10,texture_first,fixed,texture,shape,1,1,texture,10.85,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,8,plailass,sudo,8,shape_first,fixed,shape,texture,1,1,shape,26.49,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,8,plailass,sudo,8,texture_first,fixed,texture,shape,1,1,texture,10.41,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,ieyiccw,random,7,shape_first,fixed,shape,texture,1,1,shape,10.83,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,ieyiccw,random,7,texture_first,fixed,texture,shape,1,1,texture,6.64,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,afnafq,random,6,shape_first,fixed,shape,texture,1,1,shape,10.8,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,afnafq,random,6,texture_first,fixed,texture,shape,1,1,texture,9.04,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,plailass,sudo,8,shape_first,fixed,shape,texture,1,1,shape,10.8,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,plailass,sudo,8,texture_first,fixed,texture,shape,1,1,texture,9.12,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,clapher,sudo,7,shape_first,fixed,shape,texture,1,1,shape,10.82,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,clapher,sudo,7,texture_first,fixed,texture,shape,1,1,texture,9.03,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,shiple,sudo,6,shape_first,fixed,shape,texture,2,2,texture,10.84,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,shiple,sudo,6,texture_first,fixed,texture,shape,1,1,texture,9.08,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,procation,sudo,9,shape_first,fixed,shape,texture,1,1,shape,9.02,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,procation,sudo,9,texture_first,fixed,texture,shape,1,1,texture,10.61,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,adinefults,sudo,10,shape_first,fixed,shape,texture,1,1,shape,2.8,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,adinefults,sudo,10,texture_first,fixed,texture,shape,1,1,texture,9.66,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,orvufaig,random,8,shape_first,fixed,shape,texture,1,1,shape,9.05,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,orvufaig,random,8,texture_first,fixed,texture,shape,1,1,texture,10.55,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,cgchqjjfgy,random,10,shape_first,fixed,shape,texture,1,1,shape,2.74,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,9,cgchqjjfgy,random,10,texture_first,fixed,texture,shape,1,1,texture,8.6,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,10,procation,sudo,9,shape_first,fixed,shape,texture,1,1,shape,1.45,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,10,procation,sudo,9,texture_first,fixed,texture,shape,1,1,texture,2.98,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,10,clapher,sudo,7,shape_first,fixed,shape,texture,1,1,shape,10.57,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,10,clapher,sudo,7,texture_first,fixed,texture,shape,1,1,texture,20.99,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,10,shiple,sudo,6,shape_first,fixed,shape,texture,1,1,shape,10.55,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,10,shiple,sudo,6,texture_first,fixed,texture,shape,1,1,texture,21.01,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,10,qahftrxck,random,9,shape_first,fixed,shape,texture,1,1,shape,2.83,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,10,qahftrxck,random,9,texture_first,fixed,texture,shape,1,1,texture,11.33,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,10,cgchqjjfgy,random,10,shape_first,fixed,shape,texture,1,1,shape,2.15,2,1,1,0.0
qwen3.5-9b,Qwen/Qwen3.5-9B,10,cgchqjjfgy,random,10,texture_first,fixed,texture,shape,1,1,texture,4.9,2,1,1,0.0
